district,rent_1,rent_ppm2_1,rent_2,rent_ppm2_2,rent_3,rent_ppm2_3,rent_ppm2_all
Банишора,506.17,11.37,601.27,9.85,801.7,8.01,8.6
Белите брези,460.67,12.72,601.27,10.02,721.43,8.45,9.25
Бенковски,-,-,409.03,8.7,664.67,7.72,8.21
Борово,459.9,10.22,651.38,9.52,721.43,7.95,8
Бояна,460.67,17.63,751.59,10.43,1152.45,10.02,10.02
Бъкстон,199.4,5.57,665.44,9.46,716.31,8.55,8.95
Витоша,450.95,9.28,690.75,9.92,952.02,8.43,8.96
Враждебна,281.21,14.06,-,-,901.91,9.01,11.53
Връбница 1,434.59,10.86,601.27,9.3,709.16,8.84,9.25
Връбница 2,397.78,10.29,613.55,9.43,613.55,7.66,8.18
Гевгелийски,-,-,459.65,8.47,613.55,6.13,6.84
Гео Милев,390.62,9.3,601.27,9.08,768.47,7.91,8.14
Горна баня,383.46,10.98,536.85,6.47,831.36,9.36,7.9
Горубляне,-,-,555.26,8.08,1500.64,6.95,8.01
Гоце Делчев,-,-,664.93,9.25,881.46,8.81,9.03
Градина,-,-,-,-,851.81,7.09,7.09
Дианабад,357.9,11,701.49,9.91,1152.45,10.02,9.77
Докторски паметник,651.38,10.85,801.7,11.21,1202.55,12.16,12.02
Драгалевци,409.54,10.23,801.7,10.02,1202.55,11.27,10.2
Дружба 1,306.26,20.41,551.17,8.65,690.24,7.38,7.87
Дружба 2,501.06,11.13,681.04,9.72,746.48,7.91,9.26
Дървеница,385.51,9.17,681.04,9.39,801.7,8.9,9.39
Западен парк,383.46,12.78,460.41,7.96,601.27,7.15,7.23
Захарна фабрика,-,-,501.06,7.7,523.81,7.16,7.7
Зона Б-18,511.8,10.66,511.8,10.01,639.11,8.29,9.2
Зона Б-19,380.4,9.05,644.22,10.24,601.27,6.01,9.93
Зона Б-5,485.72,12.51,650.36,10.23,801.7,9.73,10.23
Зона Б-5-3,409.03,9.08,460.67,6.58,1035.62,11.15,9.66
Иван Вазов,-,-,751.59,11.27,851.81,9.06,10.66
Изгрев,751.59,12.52,970.94,10.62,1342.14,10.66,10.68
Изток,350.74,11.69,726.54,11.45,1102.34,10.02,10.25
Илинден,501.06,10.02,530.72,8.03,613.55,7.39,7.97
Карпузица,442.77,13.68,562.42,7.96,704.81,7.4,7.86
Княжево,-,-,505.92,7.81,851.81,9.25,7.81
Красна поляна 1,-,-,556.28,9.92,561.39,7.48,9.23
Красна поляна 2,-,-,460.41,7.49,656.75,8.05,7.49
Красна поляна 3,409.54,9.1,601.27,10.02,751.59,7.51,9.58
Красно село,460.16,10.22,751.59,9.57,751.59,7.45,8.82
Кръстова вада,490.84,12.52,801.7,11.54,1102.34,10.01,10.59
Лагера,555.26,18.2,580.82,7.75,751.59,8.05,7.93
Левски,-,-,510.78,11.35,810.65,7.54,8.37
Левски В,-,-,460.67,7.67,733.19,6.96,7.57
Левски Г,409.8,9.56,501.06,7.69,651.38,7.23,7.69
Летище София,-,-,501.06,8.35,-,8.35,8.35
Лозенец,511.29,13,715.29,10.67,1002.13,10.06,10.17
Люлин - център,-,-,551.17,8.96,683.59,7.46,8.78
Люлин 1,332.33,7.07,440.73,7.3,894.24,8.67,7.26
Люлин 10,501.06,10.02,561.9,10.23,776.14,8.13,10.02
Люлин 2,375.79,9.39,501.06,8.01,666.21,7.74,8.01
Люлин 3,347.67,7.39,562.42,9.2,613.55,6.78,7.63
Люлин 4,383.46,9.38,435.62,8.27,434.59,5.79,8.69
Люлин 5,380.4,8.3,601.27,9.09,651.38,7.07,8.32
Люлин 6,390.37,7.98,460.67,8.1,792.5,7.94,7.94
Люлин 7,396.5,9.62,510.78,8.2,-,8.77,8.77
Люлин 8,485.72,12.14,511.03,8.14,683.59,7.69,8.14
Люлин 9,447.38,9.47,546.05,8.47,582.36,7.3,8.47
Малинова долина,470.89,10.41,700.46,10.29,961.74,9.2,10.23
Манастирски ливади,501.06,10.62,701.49,10.02,1152.45,10.23,10.02
Медицинска академия,476.01,8.9,718.62,10.02,836.72,9.02,9.61
Младост 1,511.54,10.23,601.27,8.97,751.59,8.35,8.78
Младост 1А,-,-,650.87,9.17,650.87,9.92,9.62
Младост 2,511.8,11.21,591.05,9.69,810.65,8.42,9.39
Младост 3,410.82,9.11,562.93,8.15,695.61,7.47,8.15
Младост 4,459.65,10.21,700.98,10.94,836.72,8.83,10.17
Модерно предградие,485.72,12.14,620.7,7.76,588.75,6.55,6.83
Мусагеница,420.79,10.81,681.04,10.02,615.08,7.66,8.14
Надежда 1,365.57,7.01,500.55,8.11,651.38,8.52,8.11
Надежда 2,435.1,8.3,570.09,9.36,817.55,8.66,8.66
Надежда 3,460.16,9.2,613.03,9.25,536.85,5.66,8.77
Надежда 4,-,-,511.29,9.53,751.59,9.16,9.34
Обеля,306.77,8.76,595.14,9.26,-,8.76,8.76
Обеля 1,-,-,501.06,7.32,-,7.26,7.26
Обеля 2,-,-,480.87,8.27,561.14,6.58,7.87
Оборище,601.27,10.93,661.1,10.22,982.95,9.34,10.22
Овча купел,409.28,10.92,551.17,9.26,751.59,8.24,8.69
Овча купел 1,551.17,11.72,501.06,9.63,651.38,6.83,7.48
Овча купел 2,383.46,8.61,576.22,9.66,601.27,7.93,8.77
Орландовци,409.03,9.08,600.76,7.09,551.17,5.51,7.27
ПЗ Хладилника,-,-,1002.13,14.11,1302.77,10.5,12.35
Павлово,300.63,7.51,661.1,10.73,801.7,7.62,8.01
Подуяне,551.17,10.02,750.57,10.02,771.53,7.44,10.02
Полигона,450.95,12.88,1002.13,13.36,1002.13,8.13,8.71
Разсадника,300.63,10.02,473.2,8.17,751.59,7.09,7.96
Редута,470.89,12.06,613.55,8.61,814.99,8.28,8.52
Света Троица,501.06,10.02,587.47,10.13,651.38,7.23,8.11
Свобода,-,-,460.16,8.07,601.27,8.58,8.27
Сердика,-,-,614.06,8.77,614.57,8.07,8.09
Симеоново,511.29,7.94,715.8,9.54,1151.42,7.94,8.39
Славия,-,-,871.75,10.8,676.43,8.32,10.01
Слатина,493.39,9.56,601.27,8.01,798.12,6.84,7.74
Стрелбище,437.15,9.85,613.55,9.3,851.81,8.3,9.01
Студентски град,450.95,10,651.38,9.29,851.81,8.41,9.29
Сухата река,425.39,10.11,562.42,8.58,656.24,7.63,8.03
Толстой,501.06,10.02,511.54,8.17,695.86,9.8,8.56
Триъгълника,409.54,8.9,485.72,8.83,696.37,7.51,8.83
Фондови жилища,-,-,486.74,7.15,434.59,5.17,7.15
Хаджи Димитър,400.85,8.48,511.8,8.01,700.46,6.55,7.91
Хиподрума,460.16,12.71,651.38,9.74,851.81,8.61,9.44
Хладилника,400.85,9.54,716.31,10.32,952.02,8.02,9.6
Център,501.06,12.52,717.34,10.93,1002.13,10.49,10.79
Яворов,460.67,9.21,721.43,10.32,801.7,8.01,8.38
в.з.Бояна,-,-,-,-,1052.23,8.03,8.03
в.з.Киноцентъра,-,-,-,-,859.99,7.5,6.21
в.з.Киноцентъра 3 част,-,-,1002.13,11.13,-,11.13,11.13
в.з.Малинова долина,-,-,715.8,9.94,3006.39,20.75,18.12
в.з.Симеоново - Драгалевци,-,-,-,-,-,5.18,5.18
гр. Банкя,400.85,11.24,501.06,8.66,450.95,5.01,8.66
гр. Бухово,-,-,306.77,6.26,-,6.26,6.26
ж.гр.Южен парк,-,-,-,-,-,14.22,14.22
м-т Гърдова глава,-,-,751.59,10.54,701.49,7.01,10.02
м-т Детски град,-,-,-,-,1102.34,8.96,8.96
м-т Камбаните,-,-,-,-,1602.9,8.01,8.01
м-т Киноцентъра,-,-,-,-,-,10.6,10.6
с. Бистрица,-,-,-,-,1002.13,9.36,9.36
с. Герман,-,-,701.49,12.3,-,12.3,12.3
с. Лозен,-,-,400.85,6.68,-,6.68,6.68
с. Панчарево,-,-,485.72,5.71,562.42,6.39,6.05
