district,price_1,ppm2_1,price_2,ppm2_2,price_3,ppm2_3,ppm2_all
7-ми 11-ти километър,-,-,182298,2048,324152,2594,2594
Банишора,120255,2796,170361,2505,257678,2375,2470
Белите брези,182889,4207,238005,3382,321183,3062,3088
Бенковски,-,-,-,-,171723,1987,1987
Борово,180383,3221,211449,2879,276688,2983,2861
Ботунец,-,-,73155,1102,115231,1487,1228
Ботунец 2,55116,1224,65128,1228,102066,1009,1190
Бояна,140113,2393,210447,2699,351748,2694,2690
Бъкстон,127771,4208,200426,2815,270575,2505,2505
Витоша,104501,2353,196828,2719,310660,2695,2701
Военна рампа,-,-,175323,2233,-,2,233
Враждебна,-,-,137592,1810,200426,1908,1897
Връбница 1,98710,2174,143484,2344,196117,2049,2229
Връбница 2,115195,2774,149593,2400,214456,1960,2142
Гевгелийски,145309,3632,127771,2734,240311,2883,2907
Гео Милев,162345,3452,243017,3482,300639,3494,3444
Горна баня,79619,2438,177196,2301,237705,2233,2210
Горубляне,87185,1747,156211,2063,218264,1803,2092
Гоце Делчев,297633,3006,222258,3278,350746,2914,3006
Градина,-,-,195002,2527,235100,2527,2527
Дианабад,148315,3198,289841,3398,354753,3084,3149
Докторски паметник,196417,3928,345735,4871,455970,4660,5178
Драгалевци,185394,2809,230490,2752,348741,2641,2699
Дружба 1,132281,2619,172366,2505,221495,2004,2335
Дружба 2,119358,2003,165832,2227,285607,2426,2307
Дървеница,189402,4208,187899,2750,260454,2358,2499
Експериментален,97875,1747,120205,1779,135282,1897,1726
Западен парк,107428,2977,156332,2675,175373,2474,2580
Захарна фабрика,-,-,120245,2588,199273,2264,2354
Зона Б-18,140338,2985,191407,2564,325691,2605,2598
Зона Б-19,120294,2038,121180,2032,212591,2022,2025
Зона Б-5,150319,3006,195415,2726,306802,2767,2732
Зона Б-5-3,140338,2985,250533,3515,396325,3187,3187
Иван Вазов,218965,5474,288112,3976,397845,4225,4081
Изгрев,-,-,288112,3961,526119,4322,4632
Изток,125266,3966,283102,4167,380309,3728,3941
Илинден,103820,3460,186396,2505,215458,2501,2505
Илиянци,-,-,-,-,210447,1753,1753
Карпузица,99211,2307,180373,2291,241012,2166,2218
Княжево,140177,2416,174587,2300,232023,2294,2292
Красна поляна 1,110234,2396,139246,2364,187712,2307,2299
Красна поляна 2,-,-,137256,2767,188400,1986,2109
Красна поляна 3,129224,2812,125266,2622,200425,2124,2451
Красно село,132870,2642,194052,2799,325158,2673,2752
Кремиковци,-,-,80170,1636,-,1,636
Кръстова вада,136289,3028,227834,3072,350746,2998,3013
Лагера,159339,3464,200425,2978,300639,2760,2765
Левски,122305,1904,136604,1798,202702,1805,1801
Левски В,120285,1995,147764,1928,188725,1681,1714
Левски Г,85181,1738,131605,2019,199374,1966,1980
Летище София,49104,1141,-,-,348627,2526,1834
Лозенец,112238,3206,290856,3836,439160,3791,3659
Люлин - център,77164,2572,149534,1898,240511,1878,1859
Люлин 1,68144,2605,120809,1885,150319,1867,2037
Люлин 10,82941,1752,141673,1753,200426,2034,1769
Люлин 2,90502,1852,152508,2037,190399,1920,1869
Люлин 3,115245,2561,140298,2226,177277,2095,2158
Люлин 4,109983,2574,143805,2307,195304,1896,2104
Люлин 5,96204,2379,135287,1823,200891,1709,1754
Люлин 6,100684,2333,135287,1834,189402,1687,1797
Люлин 7,89139,2565,144051,2312,208443,1993,2139
Люлин 8,116497,2484,126446,2099,212051,2056,2058
Люлин 9,104221,2296,149818,2304,174070,1804,2006
Малашевци,-,-,-,-,159339,1831,1831
Малинова долина,102468,2332,165351,2304,249530,2195,2215
Манастирски ливади,167431,2993,216445,2945,325692,2685,2698
Медицинска академия,274513,3935,255543,3619,370788,3728,3587
Младост 1,135287,3198,180383,2775,259329,2525,2598
Младост 1А,119253,2592,200418,2792,305650,2493,2504
Младост 2,127421,3081,189402,2673,282360,2560,2579
Младост 3,135287,3006,183841,2642,349744,3042,2922
